ID,full_name,first_apperance,description,image
1011334,3-D Man,21366,null,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784/portrait_incredible.jpg
1017100,A-Bomb (HAS),null,Rick Jones has been Hulk's best bud since day one but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion A-Bomb's thick armored skin is just as strong and powerful as it is blue. And when he curls into action he uses it like a giant bowling ball of destruction! ,http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16/portrait_incredible.jpg
1009144,A.I.M.,36763,AIM is a terrorist organization bent on destroying the world.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec/portrait_incredible.jpg
1010699,Aaron Stack,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009146,Abomination (Emil Blonsky),17547,Formerly known as Emil Blonsky a spy of Soviet Yugoslavian origin working for the KGB the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04/portrait_incredible.jpg
1016823,Abomination (Ultimate),15717,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009148,Absorbing Man,36481,null,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7/portrait_incredible.jpg
1009149,Abyss,13943,null,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64/portrait_incredible.jpg
1010903,Abyss (Age of Apocalypse),null,null,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548/portrait_incredible.jpg
1011266,Adam Destine,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010354,Adam Warlock,17271,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860/portrait_incredible.jpg
1010846,Aegis (Trey Rollins),null,null,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d/portrait_incredible.jpg
1011297,Agent Brand,5477,null,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e/portrait_incredible.jpg
1011031,Agent X (Nijo),17702,Originally a partner of the mind-altering assassin Black Swan Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family which included Nijo's brother.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009150,Agent Zero,3357,null,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790/portrait_incredible.jpg
1011198,Agents of Atlas,6318,null,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5/portrait_incredible.jpg
1011175,Aginar,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011136,Air-Walker (Gabriel Lan),5589,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011176,Ajak,null,null,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215/portrait_incredible.jpg
1010870,Ajaxis,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a/portrait_incredible.jpg
1011194,Akemi,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011170,Alain,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009240,Albert Cleary,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011120,Albion,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010836,Alex Power,35509,null,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82/portrait_incredible.jpg
1010755,Alex Wilder,15061,Despite being the only one of the Runaways without any superhuman abilities or tech Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect as well as prodigy-level logic and strategy.,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a/portrait_incredible.jpg
1011214,Alexa Mendez,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009497,Alexander Pierce,26285,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1014990,Alice,null,null,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573/portrait_incredible.jpg
1009435,Alicia Masters,17460,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae/portrait_incredible.jpg
1010370,Alpha Flight,39654,null,http://i.annihil.us/u/prod/marvel/i/mg/1/60/52695277ee088/portrait_incredible.jpg
1011324,Alpha Flight (Ultimate),null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011164,Alvin Maker,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011227,Amadeus Cho,38496,null,http://i.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581/portrait_incredible.jpg
1009567,Amanda Sefton,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011382,Amazoness,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011361,American Eagle (Jason Strongbow),10105,null,http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a/portrait_incredible.jpg
1009151,Amiko,13722,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010672,Amora,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010673,Amphibian (Earth-712),3908,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010905,Amun,null,Amun is a ruthless teenage assassin employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araña interrupted the ritual to initiate the Wasp's new chosen one.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009152,Ancient One,20234,null,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4ce59ea2103ac/portrait_incredible.jpg
1016824,Ancient One (Ultimate),15771,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1011396,Angel (Thomas Halloway),20636,null,http://i.annihil.us/u/prod/marvel/i/mg/d/03/531769834b15f/portrait_incredible.jpg
1011338,Angel (Ultimate),15715,null,http://i.annihil.us/u/prod/marvel/i/mg/4/50/531769ae4399f/portrait_incredible.jpg
1009153,Angel (Warren Worthington III),21197,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1017574,Angela (Aldrif Odinsdottir),51201,null,http://i.annihil.us/u/prod/marvel/i/mg/7/00/545a82f59dd73/portrait_incredible.jpg
1010674,Anita Blake,5912,null,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0038fa14452/portrait_incredible.jpg
1009346,Anne Marie Hoag,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009154,Annihilus,2055,null,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6/portrait_incredible.jpg
